datetime,NEE,NME
2017-06-23 00:00:00-06:00,-0.101038371,23.772472999999994
2017-06-23 00:30:00-06:00,0.5612278869999998,22.940564
2017-06-23 01:00:00-06:00,0.6731051289999997,25.633563999999986
2017-06-23 01:30:00-06:00,0.506379699,25.041401999999987
2017-06-23 02:00:00-06:00,0.4908123809999997,24.375761000000008
2017-06-23 02:30:00-06:00,0.6870779149999998,33.167052000000005
2017-06-23 03:00:00-06:00,1.1826194520000004,24.789645767211915
2017-06-23 03:30:00-06:00,0.9494121200000006,24.311351203918456
2017-06-23 04:00:00-06:00,1.2596165696779886,19.8650684038798
2017-06-23 04:30:00-06:00,0.9426227450000003,22.842665990193684
2017-06-23 05:00:00-06:00,0.7602635940000002,27.234550031026206
2017-06-23 05:30:00-06:00,0.4923984010000004,24.310030301411945
2017-06-23 06:00:00-06:00,0.495853297,27.300390752156577
2017-06-23 06:30:00-06:00,0.2696514069999998,25.434977086385093
2017-06-23 07:00:00-06:00,0.37307251800000013,22.678013674418132
2017-06-23 07:30:00-06:00,-0.18811046699999992,24.837002754211426
2017-06-23 08:00:00-06:00,-0.38120604500000016,25.856170845031738
2017-06-23 08:30:00-06:00,-0.8644864990000005,26.905068906148276
2017-06-23 09:00:00-06:00,-1.5709239999453226,30.69513530731201
2017-06-23 09:30:00-06:00,-1.3735991980000006,36.55061299999999
2017-06-23 10:00:00-06:00,-1.0908285920000005,32.584044999999975
2017-06-23 10:30:00-06:00,-1.5428158810000003,30.679808999999985
2017-06-23 11:00:00-06:00,-1.0500924440000003,35.167164993286136
2017-06-23 11:30:00-06:00,-1.382978532,37.17473538716634
2017-06-23 12:00:00-06:00,-1.482482677,37.629995854695636
2017-06-23 12:30:00-06:00,-1.6462595400000004,38.73119532267253
2017-06-23 13:00:00-06:00,-1.640492023999999,39.25536715189616
2017-06-23 13:30:00-06:00,-1.37468704,39.56384506225586
2017-06-23 14:00:00-06:00,-1.4123410930000013,40.20648396809896
2017-06-23 14:30:00-06:00,-1.3978123580000004,39.71503601074219
2017-06-23 15:00:00-06:00,-1.3893117269999993,41.221967188517254
2017-06-23 15:30:00-06:00,-1.0522602469999998,46.42192
2017-06-23 16:00:00-06:00,-0.9872323310000003,45.90510099999999
2017-06-23 16:30:00-06:00,-1.1328709450000003,50.62661099999998
2017-06-23 17:00:00-06:00,-0.7985067999999996,42.27030100000001
2017-06-23 17:30:00-06:00,-1.0131969809999999,42.336392000000004
2017-06-23 18:00:00-06:00,-0.8541339559999994,29.934439
2017-06-23 18:30:00-06:00,-0.6489437440000002,31.442038000000018
2017-06-23 19:00:00-06:00,-0.3900649440000001,35.004163999999975
2017-06-23 19:30:00-06:00,-0.4556119859999997,42.14235900000001
2017-06-23 20:00:00-06:00,-0.605252057,37.60093256632487
2017-06-23 20:30:00-06:00,-0.6235478659999995,40.738807999999985
2017-06-23 21:00:00-06:00,-0.17080975799999995,33.60393799999998
2017-06-23 21:30:00-06:00,-0.5555529939999997,34.18802700000003
2017-06-23 22:00:00-06:00,-0.5083098200000005,34.405877000000025
2017-06-23 22:30:00-06:00,-0.18268713500000008,30.313833000000013
2017-06-23 23:00:00-06:00,-0.1277726010000001,28.882372000000025
2017-06-23 23:30:00-06:00,-0.16356420648129036,28.785670999999986
2017-06-24 00:00:00-06:00,0.1809451329999999,26.054944999999982
2017-06-24 00:30:00-06:00,0.2906680469999998,24.764412999999994
2017-06-24 01:00:00-06:00,0.25967839399999987,20.154161
2017-06-24 01:30:00-06:00,0.18246249700000008,17.589510000000008
2017-06-24 02:00:00-06:00,0.5813586831092834,22.323746172587075
2017-06-24 02:30:00-06:00,0.5139824867248535,23.427036158243816
2017-06-24 03:00:00-06:00,0.48831671426693596,26.27747319539388
2017-06-24 03:30:00-06:00,0.5969461480776469,21.269501399993896
2017-06-24 04:00:00-06:00,0.5982563187678654,37.01747913360596
2017-06-24 04:30:00-06:00,1.5650421509999999,20.47440872192383
2017-06-24 05:00:00-06:00,0.8461446429999996,25.537942000000008
2017-06-24 05:30:00-06:00,0.16048355900000014,17.869516999999988
2017-06-24 06:00:00-06:00,-0.33309939899999996,24.411909000000005
2017-06-24 06:30:00-06:00,-0.4080359330000002,22.372238000000003
2017-06-24 07:00:00-06:00,-0.3164348369999999,18.837899999999994
2017-06-24 07:30:00-06:00,-1.1442463919999997,27.723777000000016
2017-06-24 08:00:00-06:00,-1.4008103729999994,30.91627900000001
2017-06-24 08:30:00-06:00,-1.8881972989999993,38.272455000000015
2017-06-24 09:00:00-06:00,-1.7851082259999989,46.084042999999994
2017-06-24 09:30:00-06:00,-2.349902208000002,52.65369099999999
2017-06-24 10:00:00-06:00,-1.8755219709999993,30.556885999999988
2017-06-24 10:30:00-06:00,-2.457991962999999,30.490891000000012
2017-06-24 11:00:00-06:00,-2.2898784030000017,37.71206400000003
2017-06-24 11:30:00-06:00,-2.5855289499999983,35.53759899999999
2017-06-24 12:00:00-06:00,-2.7355224389999986,39.168538665771486
2017-06-24 12:30:00-06:00,-2.258015088999999,42.581234
2017-06-24 13:00:00-06:00,-2.029314487,40.57643600000004
2017-06-24 13:30:00-06:00,-1.8511426040000012,40.19521199999999
2017-06-24 14:00:00-06:00,-1.8049893069999998,41.579187000000026
2017-06-24 14:30:00-06:00,-1.8983619609999993,42.614494
2017-06-24 15:00:00-06:00,-1.8457395000000003,40.21541799999999
2017-06-24 15:30:00-06:00,-1.4326710710000008,42.53689499999998
2017-06-24 16:00:00-06:00,-1.133039984,39.17833299999999
